epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,12508.3,0.38779,0.2422,0.96446,0.99756,0.99996,0.99496,0.95779,0.30058,0.19841,0.87663,5.0752e-05,5.0752e-05,5.0752e-05
42,12811.8,0.35499,0.22058,0.93606,0.99756,0.99949,0.99496,0.96003,0.29205,0.18671,0.86937,4.59208e-05,4.59208e-05,4.59208e-05
43,13115.4,0.3355,0.21215,0.91956,0.99781,0.99813,0.99491,0.96555,0.27855,0.18191,0.86205,4.10896e-05,4.10896e-05,4.10896e-05
44,13419,0.32679,0.20632,0.91704,0.99754,0.99965,0.99495,0.96991,0.26551,0.17633,0.85414,3.62584e-05,3.62584e-05,3.62584e-05
45,13722.5,0.31852,0.20161,0.91123,0.99824,0.99923,0.99498,0.96949,0.26494,0.17227,0.85259,3.14272e-05,3.14272e-05,3.14272e-05
46,14026,0.30903,0.19725,0.89828,0.99802,0.99956,0.99499,0.97038,0.26054,0.16926,0.84871,2.6596e-05,2.6596e-05,2.6596e-05
47,14329.6,0.2974,0.19105,0.88986,0.99787,0.99959,0.99499,0.97395,0.25203,0.16537,0.84473,2.17648e-05,2.17648e-05,2.17648e-05
48,14633.2,0.29055,0.18804,0.88516,0.9981,0.99957,0.99499,0.97534,0.24662,0.16176,0.84085,1.69336e-05,1.69336e-05,1.69336e-05
49,14936.9,0.28779,0.18726,0.88788,0.99815,1,0.99499,0.97542,0.24575,0.16166,0.84027,1.21024e-05,1.21024e-05,1.21024e-05
50,15240.5,0.28096,0.18437,0.88031,0.99824,0.99991,0.99499,0.97595,0.24308,0.16026,0.83869,7.2712e-06,7.2712e-06,7.2712e-06
